Category,Component,Brand,Model,Configuration,Quantity,Unit Price,Total,Currency,Price Basis,Evidence Status,Technical Source,Price Source,Date,Notes
Server,,,,,,,,,,,,,,
Network,,,,,,,,,,,,,,
Security,,,,,,,,,,,,,,
Storage,,,,,,,,,,,,,,
UPS,,,,,,,,,,,,,,
